"title","gmd_name","edition","isbn_issn","publisher_name","publish_year","collation","series_title","call_number","language_name","place_name","classification","notes","image","sor","authors","topics","item_code"
"gangsta granny","book","","","","","","","","English","","","","","","<david williams>","","<KE1002>"
"The Little Blue Elephant","book","","","","","","","","GUJRATI","","","","","","<educatoinal technology>","","<KE1001>"
"asdasdsd","book","","","","","","","","English","","","","","","<fgfg>","","<P00005S>"
"adasdasd","book","","","","","","","","English","","","","","","<asds>","","<P00004S>"
"gullivers travels","book","","","","","","","","English","","","","","","<LADYBIRD>","","<P00001S>"
"the wheels on the bus","book","","","","","","","","English","","","","","","<LADYBIRD>","","<KEE0002>"
"sienna","book","","","","","","","","English","","","","","","<DISNEY>","","<KEE001>"
"asdasdasd","book","","","","","","","","English","","","","","","<MUHAMMAD HANIF>","","<KE1000>"
"The Forty Rules of Love","book","","","","","","","","English","","","","","","<ELIF SHAFAK>","","<ELT656>"
"Games People Play","book","","","","","","","","English","","","","","","<Eric Berne, M.D>","","<ELT655>"
"Twisters and the other terrible storms","book","","","","","","","","English","","","","","","<Will Osborne>","","<ELT654>"
"Alien Storm","book","","","","","","","","English","","","","","","<A.G Taylor>","","<ELT653>"
"Sophies World","book","","","","","","","","English","","","","","","<Jostien Gaarder>","","<ELT652>"
"The Old Man And The Sea","book","","","","","","","","English","","","","","","<Ernest Hemingway>","","<ELT651>"
"The Maze Runner","book","","","","","","","","English","","","","","","<James Dashner>","","<ELT650>"
"The Wizard Of OZ","book","","","","","","","","English","","","","","","<OXFORD>","","<KE000>"
"The Book Theif","book","","","","","","","","English","","","","","","<Markus Zusak>","","<ELT649>"
"The Warlock","book","","","","","","","","English","","","","","","<Micheal Scott>","","<ELT648>"
"The Red Pyramid","book","","","","","","","","English","","","","","","<Rick Riordan>","","<ELT647>"
"All The Light We Cannot See","book","","","","","","","","English","","","","","","<Anthony Deorr>","","<ELT646>"
"Tuesday with Morrie","book","","","","","","","","English","","","","","","<Mitch Albon>","","<ELT645>"
"the shrimp","book","","","","","","","","English","","","","","","<emily smith>","","<KE999>"
"The Global Thriller Phenomenon Domina","book","","","","","","","","English","","","","","","<L.S Hilton>","","<ELT644>"
"To Kill a Mocking Bird","book","","","","","","","","English","","","","","","<harper lee>","","<ELT643>"
"The Great Adventure of Sherlock Homes","book","","","","","","","","English","","","","","","<SIR AURTHOR CONAN DOYLE>","","<ELT642>"
"eigth o'clock tales","book","","","","","","","","English","","","","","","<gnicl blyton>","","<KE998>"
"Its too late for regrets Ascension","book","","","","","","","","English","","","","","","<Victor Duxeb>","","<ELT641>"
"Skin and other Stories","book","","","","","","","","English","","","","","","<ROALD DAHL>","","<ELT640>"
"The Sun is Also A Star","book","","","","","","","","English","","","","","","<nicolayoon>","","<ELT639>"
"Man Search For Meaning","book","","","","","","","","English","","","","","","<Viktore Frankl>","","<ELT638>"
"The Five People you meet in Heaven","book","","","","","","","","English","","","","","","<Mitch Albon>","","<ELT637>"
"I Wanna Iguana","book","","","","","","","","English","","","","","","<david catrow>","","<KE997>"
"Monster Mission","book","","","","","","","","English","","","","","","<Eva Ibbotson>","","<ELT636>"
"The Subtle  Art of not giving a F*ck","book","","","","","","","","English","","","","","","<Mark Manson>","","<ELT635>"
"Long Way Home","book","","","","","","","","English","","","","","","<micheal morpurgo>","","<ELT634>"
"Think & Grow Rich","book","","","","","","","","English","","","","","","<Nepoleon Hill>","","<ELT633>"
"1984","book","","","","","","","","English","","","","","","<GEORGE ORWELL>","","<ELT632>"
"Chicken Soup for the Couple Souls","book","","","","","","","","English","","","","","","<Jack Canfield>","","<ELT631>"
"Journey To The Centre of the Earth","book","","","","","","","","English","","","","","","<JULES VERNE>","","<ELT630>"
"The Forty Rules of love","book","","","","","","","","English","","","","","","<Elif Shefak>","","<ELT629>"
"when i grow up","book","","","","","","","","English","","","","","","<PUBLICATION INTERNATIONAL>","","<KE996>"
"Ego is the Enemy","book","","","","","","","","English","","","","","","<Ryan Holiday>","","<ELT628>"
"The Secret Forest","book","","","","","","","","English","","","","","","<Early Learning Program>","","<KE995>"
"Ants and grasshoppers","book","","","","","","","","English","","","","","","<MAQBOOL>","","<KE994>"
"Wounders Of the World","book","","","","","","","","English","","","","","","<OXFORD>","","<KE993>"
"Dairy of a Wimpy kid (Double Down)","book","","","","","","","","English","","","","","","<Jeff  Kinney>","","<KE992>"
"Colour and Shapes","book","","","","","","","","English","","","","","","<Mini board Book>","","<KE991>"
"A Crow That Was Tricked","book","","","","","","","","English","","","","","","","","<KE990>"
"Key Words With Peter And Jane (12c)","book","","","","","","","","English","","","","","","<W. Murray>","","<KE989>"
"Mammal","book","","","","","","","","English","","","","","","<The Natural Hstory Museum>","","<SLT079>"
"The Elves And The Shoemaker","book","","","","","","","","English","","","","","","","","<KE988>"
"The Wounderfull world Of knowledge","book","","","","","","","","English","","","","","","<DISNEY>","","<SLT078>"
"The Hare And The Tortoise","book","","","","","","","","English","","","","","","","","<KE987>"
"Animal Skeleton","book","","","","","","","","English","","","","","","<Jenny Feely>","","<SLT077>"
"Aesop Fables","book","","","","","","","","English","","","","","","","","<KE986>"
"Animal Skeleton","book","","","","","","","","English","","","","","","<Alpha kids>","","<KE985>"
"Beauty And The Beast","book","","","","","","","","English","","","","","","","","<KE984>"
"Gulliver's Travels","book","","","","","","","","English","","","","","","<JONATHAN SWIFT>","","<KE983>"
"Rapunzel","book","","","","","","","","English","","","","","","","","<KE982>"
"Will Solvit","book","","","","","","","","English","","","","","","<ZED STROM>","","<KE981>"
"The Twelve Dancing Princesses","book","","","","","","","","English","","","","","","","","<KE980>"
"Astronaut","book","","","","","","","","English","","","","","","<Sara Ward>","","<KE979>"
"A Donkey In Lions Disguise","book","","","","","","","","English","","","","","","","","<KE978>"
"Jock of the Bushveld","book","","","","","","","","English","","","","","","<Phillida Brooke>","","<KE977>"
"The Adventure of pinnochio","book","","","","","","","","English","","","","","","<JBD press>","","<KE976>"
"When Mama Mirabelle Comes home","book","","","","","","","","English","","","","","","<NATIONAL GEOGRAPHY>","","<KE975>"
"Sinbad's Secret","book","","","","","","","","English","","","","","","<Ludmila zeman>","","<KE974>"
"The Wise Little Girl`","book","","","","","","","","GUJRATI","","","","","","","","<KE973>"
"The Wolf Whistle","book","","","","","","","","English","","","","","","<OXFORD>","","<KE972>"
"Daylight Robbery","book","","","","","","","","English","","","","","","","","<KE971>"
"The dwarfish Genie","book","","","","","","","","English","","","","","","<MAQBOOL BOOKS>","","<KE970>"
"Sleeping Beauty","book","","","","","","","","English","","","","","","","","<KE969>"
"A mouse's Wedding","book","","","","","","","","English","","","","","","","","<KE968>"
"A lion and a Mosquito","book","","","","","","","","English","","","","","","<MAQBOOL BOOKS>","","<KE967>"
"A Visit To The Supermarket","book","","","","","","","","English","","","","","","","","<KE966>"
"Bill and Bean","book","","","","","","","","English","","","","","","<Thomas and friends>","","<KE965>"
"fun and Bumps","book","","","","","","","","English","","","","","","<Thomas and friends>","","<KE964>"
"The Flying Carpet","book","","","","","","","","English","","","","","","","","<KE963>"
"The Litter Queen","book","","","","","","","","English","","","","","","<OXFORD>","","<KE962>"
"Arachne And Weaver","book","","","","","","","","English","","","","","","","","<KE961>"
"The Rainbow Machine","book","","","","","","","","English","","","","","","<OXFORD>","","<KE960>"
"Survival Adventure","book","","","","","","","","English","","","","","","","","<KE959>"
"Ice Market - Ice breaker","book","","","","","","","","English","","","","","","<OXFORD>","","<KE958>"
"The Motorway","book","","","","","","","","English","","","","","","","","<KE957>"
"The Special Table","book","","","","","","","","English","","","","","","<Kites>","","<KE956>"
"Friends Out West","book","","","","","","","","English","","","","","","","","<KE955>"
"Aladin and the wounderful lamp","book","","","","","","","","English","","","","","","<CHILDREN PUBLICATION>","","<KE954>"
"The Mule And The House Dog","book","","","","","","","","English","","","","","","","","<KE953>"
"Victorian Adventure","book","","","","","","","","English","","","","","","<OXFORD>","","<KE952>"
"The Hungry Wolf And The Fox","book","","","","","","","","English","","","","","","","","<KE951>"
"White is the Moon","book","","","","","","","","English","","","","","","<Valerie Greeley>","","<KE950>"
"Water","book","","","","","","","","English","","","","","","<daine Tippell>","","<KE949>"
"The Birthday Invitation","book","","","","","","","","GUJRATI","","","","","","","","<KE948>"
"Be Happy","book","","","","","","","","English","","","","","","<YOUNG READERS>","","<KE947>"
"Danials Birthday","book","","","","","","","","English","","","","","","","","<KE946>"
"Chilly Catches A cold","book","","","","","","","","English","","","","","","<DISNEY>","","<KE945>"
"The Emperors New Cloths","book","","","","","","","","English","","","","","","","","<KE944>"
"The Brave Tortise","book","","","","","","","","English","","","","","","<YOUNG READERS>","","<KE943>"
"Little Star","book","","","","","","","","English","","","","","","","","<KE942>"
"A bird in the bush","book","","","","","","","","English","","","","","","<OXFORD>","","<KE941>"
"Cinderella","book","","","","","","","","English","","","","","","","","<KE940>"
